match,quota1,quota2,bookie,pick,confidence,probability
Toluca vs Santos Laguna,10.0,8.0,FanDuel,⚖️ EMPATE / AMBOS ANOTAN,MEDIA,33
Pachuca vs Tijuana,46.0,1.17,FanDuel,🚀 VISITA IMPERDIBLE,ALTA,85
Querétaro vs León,2.5,2.55,BetRivers,⚖️ EMPATE / AMBOS ANOTAN,MEDIA,33
Atlante FC vs Monterrey,3.3,1.94,BetRivers,✅ VISITA FAVORITA,MEDIA,52
Tijuana vs Atlas,2.08,3.3,BetRivers,✅ LOCAL FAVORITO,MEDIA,48
Cruz Azul vs Toluca,2.65,2.35,BetRivers,⚖️ EMPATE / AMBOS ANOTAN,MEDIA,33
Guadalajara vs Querétaro,1.38,6.5,BetRivers,🔥 LOCAL IMPERDIBLE,ALTA,72
Santos Laguna vs Pachuca,3.15,2.07,BetRivers,✅ VISITA FAVORITA,MEDIA,48
Tigres vs Puebla,1.5,5.4,BetRivers,🔥 LOCAL IMPERDIBLE,ALTA,67
Pumas vs Atlético San Luis,1.91,3.55,BetRivers,✅ LOCAL FAVORITO,MEDIA,52
León vs FC Juárez,1.66,4.35,BetRivers,✅ LOCAL FAVORITO,MEDIA,60
